"Name","Version","PSComputerName"
"Office 16 Click-to-Run Localization Component","16.0.10391.20029","STF126107"
"Office 16 Click-to-Run Licensing Component","16.0.10391.20029","STF126107"
"Microsoft Visual C++ 2019 X86 Additional Runtime - 14.28.29914","14.28.29914","STF126107"
"Microsoft Endpoint Configuration Manager Console","5.2010.1093.1000","STF126107"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729","9.0.30729","STF126107"
"Dameware Mini Remote Control x64","12.1.2.584","STF126107"
"ProMonitor Administration Utility","7.0.0","STF126107"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","STF126107"
"SolarWinds IP Address Tracker","1","STF126107"
"Microsoft Visual C++ 2005 Redistributable (x64)","8.0.61000","STF126107"
"ProMetrix","18.2.1","STF126107"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664","12.0.40664","STF126107"
"Microsoft Help Viewer 2.3","2.3.28107","STF126107"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","STF126107"
"Microsoft FSLogix Apps","2.9.7205.27375","STF126107"
"Microsoft FSLogix Apps","2.9.7205.27375","STF126107"
"Microsoft Update Health Tools","3.67.0.0","STF126107"
"Microsoft OLE DB Driver for SQL Server","18.2.1.0","STF126107"
"Microsoft Visual C++ 2019 X64 Additional Runtime - 14.28.29914","14.28.29914","STF126107"
"ProGeneral","19.4.0","STF126107"
"ProMonitor Training Administration Utility","7.0.0","STF126107"
"PSI In-application Plugin","1.0.267","STF126107"
"ProSolution","13.0.0","STF126107"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664","12.0.40664","STF126107"
"SSMS Post Install Tasks","15.0.18142.0","STF126107"
"Google Chrome","107.0.5304.107","STF126107"
"Microsoft Analysis Services OLE DB Provider","15.0.1600.41","STF126107"
"Java 8 Update 161","8.0.1610.12","STF126107"
"Java 8 Update 161 (64-bit)","8.0.1610.12","STF126107"
"ProVerify","18.1.0","STF126107"
"ProResource","1.0.0","STF126107"
"SQL Server Management Studio for Analysis Services","15.0.18142.0","STF126107"
"Windows Firewall Configuration Provider","1.2.3412.0","STF126107"
"SQL Server Management Studio","15.0.18142.0","STF126107"
"WithSecure? Elements Agent","4.38.440.0","STF126107"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161","9.0.30729.6161","STF126107"
"BrightAuthor 4.7","4.7.2.5","STF126107"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161","9.0.30729.6161","STF126107"
"ProAchieve","19.4.0","STF126107"
"Microsoft SQL Server 2012 Native Client ","11.4.7462.6","STF126107"
