"Name","Version","PSComputerName"
"Office 16 Click-to-Run Localization Component","16.0.10391.20029","STF124993"
"Office 16 Click-to-Run Licensing Component","16.0.10391.20029","STF124993"
"Microsoft FSLogix Apps","2.9.8111.53415","STF124993"
"ProMonitor Administration Utility","7.0.0","STF124993"
"Microsoft Visual C++ 2019 X64 Additional Runtime - 14.29.30135","14.29.30135","STF124993"
"ProMetrix","18.2.1","STF124993"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664","12.0.40664","STF124993"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","STF124993"
"ProGeneral","19.4.0","STF124993"
"ProMonitor Training Administration Utility","7.0.0","STF124993"
"PSI In-application Plugin","1.0.267","STF124993"
"ProSolution","13.0.0","STF124993"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664","12.0.40664","STF124993"
"ProVerify","18.1.0","STF124993"
"Microsoft Edge","107.0.1418.35","STF124993"
"ProResource","1.0.0","STF124993"
"Windows Firewall Configuration Provider","1.2.3412.0","STF124993"
"WithSecure? Elements Agent","4.38.440.0","STF124993"
"Rainbow (msi package installation)","1.73.1.0","STF124993"
"ProAchieve","19.4.0","STF124993"
"Duo Authentication for Windows Logon x64","4.2.0.1263","STF124993"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030","11.0.61030","STF124993"
"ProPortal Administration Utility","1.1.0","STF124993"
"SMART Notebook","11.4.564.0","STF124993"
"ProPortal Training Administration Utility","1.1.0","STF124993"
"Microsoft Visual C++ 2019 X86 Additional Runtime - 14.29.30135","14.29.30135","STF124993"
"Microsoft Visual C++ 2019 X64 Minimum Runtime - 14.29.30135","14.29.30135","STF124993"
"ProObserve","18.1.1","STF124993"
"ProSAR","19.1.1","STF124993"
"Teams Machine-Wide Installer","1.4.0.26376","STF124993"
"ProEngage","19.1.3","STF124993"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664","12.0.40664","STF124993"
"Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.29.30135","14.29.30135","STF124993"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030","11.0.61030","STF124993"
"Education Software 2013 December Update","11.4.120.0","STF124993"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664","12.0.40664","STF124993"
"Microsoft FSLogix Apps","2.9.8111.53415","STF124993"
"Google Chrome","107.0.5304.89","STF124993"
"Microsoft Silverlight","5.1.50428.0","STF124993"
"SMART English (United Kingdom) Language Pack","11.4.19.0","STF124993"
"Configuration Manager Client","5.00.9058.1000","STF124993"
"Curriculum Surveyor Administrator","2.65.3","STF124993"
"ProSolutionTraining","13.0.0","STF124993"
"Microsoft Policy Platform","68.1.1010.0","STF124993"
"DameWare Mini Remote Control Service","12.2.2.12","STF124993"
"SMART Common Files","11.5.159.0","STF124993"
"Office 16 Click-to-Run Localization Component","16.0.10391.20029","STF125339"
"Office 16 Click-to-Run Licensing Component","16.0.10391.20029","STF125339"
"CCC Help Finnish","2015.1104.1642.30033","STF125339"
"ccc-utility64","2015.1104.1643.30033","STF125339"
"CCC Help Swedish","2015.1104.1642.30033","STF125339"
"Microsoft FSLogix Apps","2.9.8111.53415","STF125339"
"CCC Help Korean","2015.1104.1642.30033","STF125339"
"CCC Help Hungarian","2015.1104.1642.30033","STF125339"
"ProMonitor Administration Utility","7.0.0","STF125339"
"Microsoft Visual C++ 2019 X64 Additional Runtime - 14.29.30135","14.29.30135","STF125339"
"ProMetrix","18.2.1","STF125339"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664","12.0.40664","STF125339"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","STF125339"
"CCC Help Spanish","2015.1104.1642.30033","STF125339"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.50727","11.0.50727","STF125339"
"CCC Help Dutch","2015.1104.1642.30033","STF125339"
"ProGeneral","19.4.0","STF125339"
"CCC Help Czech","2015.1104.1642.30033","STF125339"
"ProMonitor Training Administration Utility","7.0.0","STF125339"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.50727","11.0.50727","STF125339"
"PSI In-application Plugin","1.0.267","STF125339"
"ProSolution","13.0.0","STF125339"
"Catalyst Control Center - Branding","1.00.0000","STF125339"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664","12.0.40664","STF125339"
"Catalyst Control Center InstallProxy","2015.1104.1643.30033","STF125339"
"ProVerify","18.1.0","STF125339"
"Microsoft Edge","107.0.1418.35","STF125339"
"ProResource","1.0.0","STF125339"
"AMD Catalyst Control Center","2015.1104.1643.30033","STF125339"
"AMD Fuel","2015.1104.1643.30033","STF125339"
"Windows Firewall Configuration Provider","1.2.3412.0","STF125339"
"CCC Help Russian","2015.1104.1642.30033","STF125339"
"WithSecure? Elements Agent","4.38.440.0","STF125339"
"ProAchieve","19.4.0","STF125339"
"CCC Help Norwegian","2015.1104.1642.30033","STF125339"
"Duo Authentication for Windows Logon x64","4.2.0.1263","STF125339"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030","11.0.61030","STF125339"
"ProPortal Administration Utility","1.1.0","STF125339"
"SMART Notebook","11.4.564.0","STF125339"
"DameWare Mini Remote Control Service","12.2.1.27","STF125339"
"ProPortal Training Administration Utility","1.1.0","STF125339"
"CCC Help Chinese Traditional","2015.1104.1642.30033","STF125339"
"CCC Help Italian","2015.1104.1642.30033","STF125339"
"CCC Help Japanese","2015.1104.1642.30033","STF125339"
"Microsoft Visual C++ 2019 X86 Additional Runtime - 14.29.30135","14.29.30135","STF125339"
"Microsoft Visual C++ 2019 X64 Minimum Runtime - 14.29.30135","14.29.30135","STF125339"
"ProObserve","18.1.1","STF125339"
"CCC Help German","2015.1104.1642.30033","STF125339"
"CCC Help Chinese Standard","2015.1104.1642.30033","STF125339"
"ProSAR","19.1.1","STF125339"
"CCC Help Thai","2015.1104.1642.30033","STF125339"
"Teams Machine-Wide Installer","1.4.0.26376","STF125339"
"ProEngage","19.1.3","STF125339"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664","12.0.40664","STF125339"
"CCC Help French","2015.1104.1642.30033","STF125339"
"CCC Help Danish","2015.1104.1642.30033","STF125339"
"Catalyst Control Center Localization All","2015.1104.1643.30033","STF125339"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.50727","11.0.50727","STF125339"
"Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.29.30135","14.29.30135","STF125339"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.50727","11.0.50727","STF125339"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030","11.0.61030","STF125339"
"CCC Help Greek","2015.1104.1642.30033","STF125339"
"Education Software 2013 December Update","11.4.120.0","STF125339"
"Google Chrome","107.0.5304.88","STF125339"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664","12.0.40664","STF125339"
"Microsoft FSLogix Apps","2.9.8111.53415","STF125339"
"CCC Help Turkish","2015.1104.1642.30033","STF125339"
"CCC Help English","2015.1104.1642.30033","STF125339"
"Microsoft Silverlight","5.1.50428.0","STF125339"
"SMART English (United Kingdom) Language Pack","11.4.19.0","STF125339"
"Configuration Manager Client","5.00.9058.1000","STF125339"
"CCC Help Portuguese","2015.1104.1642.30033","STF125339"
"Curriculum Surveyor Administrator","2.65.3","STF125339"
"ProSolutionTraining","13.0.0","STF125339"
"Microsoft Policy Platform","68.1.1010.0","STF125339"
