"Name","Version","PSComputerName"
"SMART Common Files","11.5.159.0","STF125339"
"CCC Help Polish","2015.1104.1642.30033","STF125339"
"Office 16 Click-to-Run Localization Component","16.0.10391.20029","STF125777"
"Office 16 Click-to-Run Licensing Component","16.0.10391.20029","STF125777"
"Microsoft Visual C++ 2019 X86 Additional Runtime - 14.28.29914","14.28.29914","STF125777"
"CCC Help Finnish","2015.1104.1642.30033","STF125777"
"ccc-utility64","2015.1104.1643.30033","STF125777"
"CCC Help Swedish","2015.1104.1642.30033","STF125777"
"CCC Help Korean","2015.1104.1642.30033","STF125777"
"CCC Help Hungarian","2015.1104.1642.30033","STF125777"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40660","12.0.40660","STF125777"
"ProMonitor Administration Utility","7.0.0","STF125777"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","STF125777"
"Microsoft Visual C++ 2005 Redistributable (x64)","8.0.61000","STF125777"
"ProMetrix","18.2.1","STF125777"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","STF125777"
"Microsoft FSLogix Apps","2.9.7205.27375","STF125777"
"Microsoft FSLogix Apps","2.9.7205.27375","STF125777"
"CCC Help Spanish","2015.1104.1642.30033","STF125777"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.50727","11.0.50727","STF125777"
"CCC Help Dutch","2015.1104.1642.30033","STF125777"
"Microsoft Visual C++ 2019 X64 Additional Runtime - 14.28.29914","14.28.29914","STF125777"
"ProGeneral","19.4.0","STF125777"
"CCC Help Czech","2015.1104.1642.30033","STF125777"
"ProMonitor Training Administration Utility","7.0.0","STF125777"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.50727","11.0.50727","STF125777"
"PSI In-application Plugin","1.0.267","STF125777"
"ProSolution","13.0.0","STF125777"
"Catalyst Control Center - Branding","1.00.0000","STF125777"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40660","12.0.40660","STF125777"
"Catalyst Control Center InstallProxy","2015.1104.1643.30033","STF125777"
"ProVerify","18.1.0","STF125777"
"ProResource","1.0.0","STF125777"
"AMD Catalyst Control Center","2015.1104.1643.30033","STF125777"
"AMD Fuel","2015.1104.1643.30033","STF125777"
"Windows Firewall Configuration Provider","1.2.3412.0","STF125777"
"CCC Help Russian","2015.1104.1642.30033","STF125777"
"WithSecure? Elements Agent","4.38.440.0","STF125777"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161","9.0.30729.6161","STF125777"
"Rainbow (msi package installation)","1.73.1.0","STF125777"
"Autograph 3.3","3.30.11.0","STF125777"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161","9.0.30729.6161","STF125777"
"ProAchieve","19.4.0","STF125777"
"CCC Help Norwegian","2015.1104.1642.30033","STF125777"
"Duo Authentication for Windows Logon x64","4.2.0.1263","STF125777"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030","11.0.61030","STF125777"
"ProPortal Administration Utility","1.1.0","STF125777"
"SMART Notebook","11.4.564.0","STF125777"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40660","12.0.40660","STF125777"
"ProPortal Training Administration Utility","1.1.0","STF125777"
"CCC Help Chinese Traditional","2015.1104.1642.30033","STF125777"
"CCC Help Italian","2015.1104.1642.30033","STF125777"
"CCC Help Japanese","2015.1104.1642.30033","STF125777"
"Google Update Helper","1.3.36.51","STF125777"
"Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.28.29914","14.28.29914","STF125777"
"ProObserve","18.1.1","STF125777"
"CCC Help German","2015.1104.1642.30033","STF125777"
"CCC Help Chinese Standard","2015.1104.1642.30033","STF125777"
"ProSAR","19.1.1","STF125777"
"CCC Help Thai","2015.1104.1642.30033","STF125777"
"Google Chrome","107.0.5304.88","STF125777"
"Teams Machine-Wide Installer","1.3.0.13565","STF125777"
"ProEngage","19.1.3","STF125777"
"CCC Help French","2015.1104.1642.30033","STF125777"
"CCC Help Danish","2015.1104.1642.30033","STF125777"
"Catalyst Control Center Localization All","2015.1104.1643.30033","STF125777"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.50727","11.0.50727","STF125777"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.50727","11.0.50727","STF125777"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030","11.0.61030","STF125777"
"Microsoft Visual C++ 2005 Redistributable","8.0.61001","STF125777"
"Microsoft Visual C++ 2019 X64 Minimum Runtime - 14.28.29914","14.28.29914","STF125777"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030","11.0.61030","STF125777"
"CCC Help Greek","2015.1104.1642.30033","STF125777"
"Education Software 2013 December Update","11.4.120.0","STF125777"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40660","12.0.40660","STF125777"
"CCC Help Turkish","2015.1104.1642.30033","STF125777"
"CCC Help English","2015.1104.1642.30033","STF125777"
"Microsoft Silverlight","5.1.50918.0","STF125777"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030","11.0.61030","STF125777"
"SMART English (United Kingdom) Language Pack","11.4.19.0","STF125777"
"Configuration Manager Client","5.00.9058.1000","STF125777"
"CCC Help Portuguese","2015.1104.1642.30033","STF125777"
"Curriculum Surveyor Administrator","2.65.3","STF125777"
"ProSolutionTraining","13.0.0","STF125777"
"Microsoft Policy Platform","68.1.1010.0","STF125777"
"SMART Common Files","11.5.159.0","STF125777"
"CCC Help Polish","2015.1104.1642.30033","STF125777"
"Office 16 Click-to-Run Localization Component","16.0.10391.20029","STF125789"
"Office 16 Click-to-Run Licensing Component","16.0.10391.20029","STF125789"
"CCC Help Finnish","2015.1104.1642.30033","STF125789"
"ccc-utility64","2015.1104.1643.30033","STF125789"
"CCC Help Swedish","2015.1104.1642.30033","STF125789"
"Microsoft FSLogix Apps","2.9.8111.53415","STF125789"
"CCC Help Korean","2015.1104.1642.30033","STF125789"
"CCC Help Hungarian","2015.1104.1642.30033","STF125789"
"ProMonitor Administration Utility","7.0.0","STF125789"
"Microsoft Visual C++ 2019 X64 Additional Runtime - 14.29.30135","14.29.30135","STF125789"
"ProMetrix","18.2.1","STF125789"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664","12.0.40664","STF125789"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","STF125789"
"CCC Help Spanish","2015.1104.1642.30033","STF125789"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.50727","11.0.50727","STF125789"
"CCC Help Dutch","2015.1104.1642.30033","STF125789"
"ProGeneral","19.4.0","STF125789"
"CCC Help Czech","2015.1104.1642.30033","STF125789"
"ProMonitor Training Administration Utility","7.0.0","STF125789"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.50727","11.0.50727","STF125789"
"PSI In-application Plugin","1.0.267","STF125789"
"ProSolution","13.0.0","STF125789"
"Catalyst Control Center - Branding","1.00.0000","STF125789"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664","12.0.40664","STF125789"
"Catalyst Control Center InstallProxy","2015.1104.1643.30033","STF125789"
"ProVerify","18.1.0","STF125789"
"Microsoft Edge","107.0.1418.35","STF125789"
"ProResource","1.0.0","STF125789"
"AMD Catalyst Control Center","2015.1104.1643.30033","STF125789"
"AMD Fuel","2015.1104.1643.30033","STF125789"
"Windows Firewall Configuration Provider","1.2.3412.0","STF125789"
"CCC Help Russian","2015.1104.1642.30033","STF125789"
"WithSecure? Elements Agent","4.38.440.0","STF125789"
"Rainbow (msi package installation)","1.73.1.0","STF125789"
"ProAchieve","19.4.0","STF125789"
"CCC Help Norwegian","2015.1104.1642.30033","STF125789"
"Duo Authentication for Windows Logon x64","4.2.0.1263","STF125789"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030","11.0.61030","STF125789"
"ProPortal Administration Utility","1.1.0","STF125789"
"SMART Notebook","11.4.564.0","STF125789"
"ProPortal Training Administration Utility","1.1.0","STF125789"
"CCC Help Chinese Traditional","2015.1104.1642.30033","STF125789"
"CCC Help Italian","2015.1104.1642.30033","STF125789"
"CCC Help Japanese","2015.1104.1642.30033","STF125789"
"Microsoft Visual C++ 2019 X86 Additional Runtime - 14.29.30135","14.29.30135","STF125789"
"Microsoft Visual C++ 2019 X64 Minimum Runtime - 14.29.30135","14.29.30135","STF125789"
"ProObserve","18.1.1","STF125789"
"CCC Help German","2015.1104.1642.30033","STF125789"
"CCC Help Chinese Standard","2015.1104.1642.30033","STF125789"
"ProSAR","19.1.1","STF125789"
"CCC Help Thai","2015.1104.1642.30033","STF125789"
"Teams Machine-Wide Installer","1.4.0.26376","STF125789"
"ProEngage","19.1.3","STF125789"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664","12.0.40664","STF125789"
"CCC Help French","2015.1104.1642.30033","STF125789"
"CCC Help Danish","2015.1104.1642.30033","STF125789"
"Catalyst Control Center Localization All","2015.1104.1643.30033","STF125789"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.50727","11.0.50727","STF125789"
"Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.29.30135","14.29.30135","STF125789"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.50727","11.0.50727","STF125789"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030","11.0.61030","STF125789"
"CCC Help Greek","2015.1104.1642.30033","STF125789"
"Education Software 2013 December Update","11.4.120.0","STF125789"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664","12.0.40664","STF125789"
"Microsoft FSLogix Apps","2.9.8111.53415","STF125789"
"CCC Help Turkish","2015.1104.1642.30033","STF125789"
"Google Chrome","107.0.5304.88","STF125789"
"CCC Help English","2015.1104.1642.30033","STF125789"
"Microsoft Silverlight","5.1.50428.0","STF125789"
"SMART English (United Kingdom) Language Pack","11.4.19.0","STF125789"
"Configuration Manager Client","5.00.9058.1000","STF125789"
"CCC Help Portuguese","2015.1104.1642.30033","STF125789"
"Curriculum Surveyor Administrator","2.65.3","STF125789"
"ProSolutionTraining","13.0.0","STF125789"
"Microsoft Policy Platform","68.1.1010.0","STF125789"
"DameWare Mini Remote Control Service","12.2.2.12","STF125789"
"SMART Common Files","11.5.159.0","STF125789"
"CCC Help Polish","2015.1104.1642.30033","STF125789"
"Office 16 Click-to-Run Localization Component","16.0.10391.20029","STF126107"
"Office 16 Click-to-Run Licensing Component","16.0.10391.20029","STF126107"
"Microsoft Visual C++ 2019 X86 Additional Runtime - 14.28.29914","14.28.29914","STF126107"
"Microsoft Endpoint Configuration Manager Console","5.2010.1093.1000","STF126107"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729","9.0.30729","STF126107"
"Dameware Mini Remote Control x64","12.1.2.584","STF126107"
"ProMonitor Administration Utility","7.0.0","STF126107"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","STF126107"
"SolarWinds IP Address Tracker","1","STF126107"
"Microsoft Visual C++ 2005 Redistributable (x64)","8.0.61000","STF126107"
"ProMetrix","18.2.1","STF126107"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664","12.0.40664","STF126107"
"Microsoft Help Viewer 2.3","2.3.28107","STF126107"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","STF126107"
"Microsoft FSLogix Apps","2.9.7205.27375","STF126107"
"Microsoft FSLogix Apps","2.9.7205.27375","STF126107"
"Microsoft Update Health Tools","3.67.0.0","STF126107"
"Microsoft OLE DB Driver for SQL Server","18.2.1.0","STF126107"
"Microsoft Visual C++ 2019 X64 Additional Runtime - 14.28.29914","14.28.29914","STF126107"
"ProGeneral","19.4.0","STF126107"
"ProMonitor Training Administration Utility","7.0.0","STF126107"
"PSI In-application Plugin","1.0.267","STF126107"
"ProSolution","13.0.0","STF126107"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664","12.0.40664","STF126107"
"SSMS Post Install Tasks","15.0.18142.0","STF126107"
"Google Chrome","107.0.5304.88","STF126107"
"Microsoft Analysis Services OLE DB Provider","15.0.1600.41","STF126107"
"Java 8 Update 161","8.0.1610.12","STF126107"
"Java 8 Update 161 (64-bit)","8.0.1610.12","STF126107"
"ProVerify","18.1.0","STF126107"
"ProResource","1.0.0","STF126107"
"SQL Server Management Studio for Analysis Services","15.0.18142.0","STF126107"
"Windows Firewall Configuration Provider","1.2.3412.0","STF126107"
"SQL Server Management Studio","15.0.18142.0","STF126107"
"WithSecure? Elements Agent","4.38.440.0","STF126107"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161","9.0.30729.6161","STF126107"
"BrightAuthor 4.7","4.7.2.5","STF126107"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161","9.0.30729.6161","STF126107"
"ProAchieve","19.4.0","STF126107"
"Microsoft SQL Server 2012 Native Client ","11.4.7462.6","STF126107"
"Duo Authentication for Windows Logon x64","4.2.0.1263","STF126107"
"SQL Server Management Studio for Reporting Services","15.0.18142.0","STF126107"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030","11.0.61030","STF126107"
"ProPortal Administration Utility","1.1.0","STF126107"
"SMART Notebook","11.4.564.0","STF126107"
"DameWare Mini Remote Control Service","12.2.1.27","STF126107"
"ProPortal Training Administration Utility","1.1.0","STF126107"
"SQL Server Management Studio","15.0.18142.0","STF126107"
"7-Zip 22.00 (x64 edition)","22.00.00.0","STF126107"
"Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.28.29914","14.28.29914","STF126107"
"ProObserve","18.1.1","STF126107"
"ProSAR","19.1.1","STF126107"
"Teams Machine-Wide Installer","1.3.0.13565","STF126107"
"ProEngage","19.1.3","STF126107"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664","12.0.40664","STF126107"
"Microsoft Analysis Services OLE DB Provider","15.0.1600.41","STF126107"
"Visual Studio 2017 Isolated Shell for SSMS","15.0.28307.421","STF126107"
"Integration Services","15.0.1301.438","STF126107"
"Microsoft Edge","107.0.1418.35","STF126107"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030","11.0.61030","STF126107"
"Microsoft Visual C++ 2005 Redistributable","8.0.61001","STF126107"
"Microsoft Visual C++ 2019 X64 Minimum Runtime - 14.28.29914","14.28.29914","STF126107"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030","11.0.61030","STF126107"
"Microsoft ReportViewer 2010 SP1 Redistributable (KB2549864)","10.0.40220","STF126107"
"ConfigMgr 2012 Toolkit R2","5.00.7958.1151","STF126107"
"Education Software 2013 December Update","11.4.120.0","STF126107"
"Microsoft ODBC Driver 17 for SQL Server","17.3.1.1","STF126107"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664","12.0.40664","STF126107"
"Microsoft Silverlight","5.1.50918.0","STF126107"
"Microsoft Visual Studio Tools for Applications 2017 x64 Hosting Support","15.0.27520","STF126107"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030","11.0.61030","STF126107"
"SMART English (United Kingdom) Language Pack","11.4.19.0","STF126107"
"Microsoft Visual Studio Tools for Applications 2017 x86 Hosting Support","15.0.27520","STF126107"
"Configuration Manager Client","5.00.9058.1000","STF126107"
"Remote Desktop Connection Manager","2.7.14060","STF126107"
"Active Directory Authentication Library for SQL Server","15.0.1300.359","STF126107"
"Curriculum Surveyor Administrator","2.65.3","STF126107"
"ProSolutionTraining","13.0.0","STF126107"
"Microsoft Policy Platform","68.1.1010.0","STF126107"
"Java Auto Updater","2.8.161.12","STF126107"
"SMART Common Files","11.5.159.0","STF126107"
"Office 16 Click-to-Run Localization Component","16.0.10391.20029","STF126185"
"Office 16 Click-to-Run Licensing Component","16.0.10391.20029","STF126185"
"Microsoft FSLogix Apps","2.9.8111.53415","STF126185"
"ProMonitor Administration Utility","7.0.0","STF126185"
"Microsoft Visual C++ 2019 X64 Additional Runtime - 14.29.30135","14.29.30135","STF126185"
"ProMetrix","18.2.1","STF126185"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664","12.0.40664","STF126185"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","STF126185"
"ProGeneral","19.4.0","STF126185"
"ProMonitor Training Administration Utility","7.0.0","STF126185"
"PSI In-application Plugin","1.0.267","STF126185"
"ProSolution","13.0.0","STF126185"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664","12.0.40664","STF126185"
"ProVerify","18.1.0","STF126185"
"Microsoft Edge","107.0.1418.35","STF126185"
"ProResource","1.0.0","STF126185"
"Windows Firewall Configuration Provider","1.2.3412.0","STF126185"
"WithSecure? Elements Agent","4.38.440.0","STF126185"
"Rainbow (msi package installation)","1.73.1.0","STF126185"
"ProAchieve","19.4.0","STF126185"
"Duo Authentication for Windows Logon x64","4.2.0.1263","STF126185"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030","11.0.61030","STF126185"
"ProPortal Administration Utility","1.1.0","STF126185"
"SMART Notebook","11.4.564.0","STF126185"
"ProPortal Training Administration Utility","1.1.0","STF126185"
"Microsoft Visual C++ 2019 X86 Additional Runtime - 14.29.30135","14.29.30135","STF126185"
"Microsoft Visual C++ 2019 X64 Minimum Runtime - 14.29.30135","14.29.30135","STF126185"
"ProObserve","18.1.1","STF126185"
"ProSAR","19.1.1","STF126185"
"Teams Machine-Wide Installer","1.4.0.26376","STF126185"
"ProEngage","19.1.3","STF126185"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664","12.0.40664","STF126185"
"Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.29.30135","14.29.30135","STF126185"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030","11.0.61030","STF126185"
"Education Software 2013 December Update","11.4.120.0","STF126185"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664","12.0.40664","STF126185"
"Microsoft FSLogix Apps","2.9.8111.53415","STF126185"
"Google Chrome","107.0.5304.89","STF126185"
"Microsoft Silverlight","5.1.50428.0","STF126185"
"SMART English (United Kingdom) Language Pack","11.4.19.0","STF126185"
"Configuration Manager Client","5.00.9058.1000","STF126185"
"Curriculum Surveyor Administrator","2.65.3","STF126185"
"ProSolutionTraining","13.0.0","STF126185"
"Microsoft Policy Platform","68.1.1010.0","STF126185"
"DameWare Mini Remote Control Service","12.2.2.12","STF126185"
"SMART Common Files","11.5.159.0","STF126185"
"Office 16 Click-to-Run Localization Component","16.0.10391.20029","STF126258"
"Office 16 Click-to-Run Licensing Component","16.0.10391.20029","STF126258"
"Microsoft Visual C++ 2019 X86 Additional Runtime - 14.28.29914","14.28.29914","STF126258"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40660","12.0.40660","STF126258"
"ProMonitor Administration Utility","7.0.0","STF126258"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","STF126258"
"Microsoft Visual C++ 2005 Redistributable (x64)","8.0.61000","STF126258"
"ProMetrix","18.2.1","STF126258"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","STF126258"
"Microsoft FSLogix Apps","2.9.7205.27375","STF126258"
"Microsoft FSLogix Apps","2.9.7205.27375","STF126258"
"Microsoft Visual C++ 2019 X64 Additional Runtime - 14.28.29914","14.28.29914","STF126258"
"ProGeneral","19.4.0","STF126258"
"ProMonitor Training Administration Utility","7.0.0","STF126258"
"PSI In-application Plugin","1.0.267","STF126258"
"ProSolution","13.0.0","STF126258"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40660","12.0.40660","STF126258"
"Google Chrome","107.0.5304.106","STF126258"
"ProVerify","18.1.0","STF126258"
"ProResource","1.0.0","STF126258"
"Windows Firewall Configuration Provider","1.2.3412.0","STF126258"
"WithSecure? Elements Agent","4.38.440.0","STF126258"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161","9.0.30729.6161","STF126258"
"Rainbow (msi package installation)","1.73.1.0","STF126258"
